Recency,Frequency,Monetary,T
129,3,76937.41,341
221,3,107036.04000000001,221
282,1,33799.09,282
129,3,92825.87,282
98,1,98297.88,98
68,1,50753.53,68
160,5,378569.83,372
68,4,183929.06,160
37,2,102882.72,98
160,3,64406.479999999996,282
251,1,82193.81,251
7,2,91600.55,251
129,2,46861.11,129
68,1,6752.02,68
68,2,24206.100000000002,160
37,8,617890.59,372
7,23,695653.53,372
7,18,356058.39,372
37,4,206976.02,160
37,5,189520.38,310
310,1,107606.39,310
190,2,67506.09,372
98,4,281127.11,221
37,1,11503.94,37
68,15,649026.15,341
282,1,63202.74,282
37,4,545411.52,310
129,4,18645.0,372
310,1,24255.61,310
7,7,105320.31999999999,372
282,2,209646.05000000002,310
37,6,1279918.93,341
37,2,160174.19,129
7,26,586668.52,372
37,1,116477.06,37
129,2,14586.9,160
68,1,18140.61,68
129,1,22905.469999999998,129
7,29,2793456.92,310
37,18,702024.12,372
282,1,23870.17,282
7,20,537982.18,372
37,12,295193.93,372
37,7,196849.84,282
282,1,9401.41,282
68,2,156129.91,98
341,1,59982.04,341
7,9,850611.16,282
37,2,26620.45,37
7,3,115184.67,282
129,1,108333.08,129
68,5,109762.72,282
129,6,138524.63,372
129,1,29376.48,129
37,1,7824.0,37
282,4,410275.22000000003,372
372,1,111317.79000000001,372
7,9,485681.08,372
7,19,1119804.76,372
7,2,181224.58,7
37,14,1542446.39,341
68,1,66827.15,68
341,1,3874.5,341
7,17,574385.77,372
37,1,300141.05,37
7,34,12965429.74,129
37,1,72079.75,37
37,12,676802.85,372
160,1,81339.84,160
98,6,78223.49,341
7,8,186794.05000000002,68
160,2,36874.35,190
98,2,230114.46,251
68,8,296544.78,372
37,3,126141.41,129
37,2,37794.4,98
7,13,417292.68,282
37,5,19736.81,251
37,12,439882.34,282
7,8,132280.82,372
282,2,46813.82,341
37,5,182260.35,129
160,1,16962.22,160
372,1,7038.0,372
7,6,340622.95,68
98,1,8938.43,98
37,3,414453.53,98
7,4,38568.15,37
129,3,95616.09,310
68,2,112121.91,282
7,5,148380.45,282
341,1,169297.44,341
7,12,533317.01,190
129,5,78129.09,341
7,15,336591.51,372
7,2,125501.09,68
68,1,79430.58,68
7,3,189131.57,37
7,6,101474.42,129
372,1,62036.380000000005,372
160,1,21122.81,160
68,5,29218.7,221
7,6,653402.05,372
68,3,16587.76,310
251,1,2469.3,251
221,3,122264.17,221
37,2,56475.08,372
98,3,136954.59,251
251,2,130917.09,251
282,1,7110.9,282
37,66,3773194.82,372
37,3,136075.24,310
68,1,92141.5,68
37,14,3008907.91,372
221,3,281710.41,372
190,2,74901.41,310
98,4,153214.93,251
98,2,80700.08,98
282,1,69268.03,282
68,4,153920.36,341
98,1,179173.06,98
37,4,65281.32,221
37,1,65552.61,37
68,7,397657.5,341
310,5,103911.02,372
98,5,113096.37,190
7,7,779124.06,190
68,2,420777.86,68
37,31,645766.54,372
68,1,54918.25,68
341,1,8552.140000000001,341
7,10,218153.32,310
7,24,699924.63,372
7,14,638196.85,221
68,2,114580.39,282
7,32,1526947.24,310
221,3,18613.87,251
129,1,23489.4,129
7,7,103195.6,251
221,1,5284.15,221
68,9,86228.07,372
7,1,127652.45999999999,7
37,4,96705.87999999999,372
251,2,39717.62,372
98,1,29488.02,98
37,7,198602.42,341
98,7,319926.18,372
68,13,280801.31,310
98,1,20624.95,98
372,1,15921.580000000002,372
37,7,176156.71,282
37,7,245036.89,372
7,4,173559.83000000002,37
7,24,239062.49,372
68,1,38115.58,68
7,1,21651.49,7
251,2,61207.47,372
68,10,510852.34,341
190,1,111632.17,190
98,4,125196.79000000001,282
129,4,267301.44,341
37,7,176692.14,282
37,15,477505.18,310
68,5,109191.64,341
190,5,152971.09,310
37,8,291514.66000000003,282
68,5,133523.5,341
37,4,410071.28,68
37,6,198795.02,282
98,2,39937.29,372
372,1,13069.22,372
341,1,24375.88,341
68,13,273099.73,341
37,2,117511.15,251
190,1,31636.780000000002,190
251,2,36398.17,341
7,14,366835.53,372
190,5,262358.57,282
129,3,161159.43,251
282,1,52197.47,282
341,1,30923.949999999997,341
7,3,228801.75,98
7,5,215398.65,68
282,3,164080.52,372
68,6,283438.05,341
37,10,277805.84,341
160,1,9023.91,160
68,2,106929.53,98
7,8,318200.56,251
160,3,46918.94,372
129,2,62589.81,160
160,7,175902.09,282
341,1,74635.2,341
251,1,29298.9,251
98,2,87874.29000000001,282
68,4,59799.86,251
98,5,180511.79,310
37,4,542296.53,221
221,1,25507.65,221
7,15,391609.2,372
37,3,91079.92,98
37,4,64564.39,190
37,5,718291.11,251
7,4,46098.87,221
221,2,54871.979999999996,221
7,6,130248.56,310
37,6,262166.87,372
7,12,649700.1900000001,282
7,14,292267.98,341
7,4,132631.45,372
68,2,16744.5,341
37,6,162421.23,282
7,45,4123714.52,372
7,18,422622.29,372
37,1,6314.530000000001,37
129,2,33233.99,129
221,2,67430.09,310
98,5,285669.2,160
68,3,81820.44,98
98,6,470783.79,372
7,10,301062.94,372
251,2,69414.35,251
68,6,230545.81,341
129,1,15682.89,129
37,7,288186.69,282
68,1,61217.69,68
221,3,126032.53,341
37,5,302020.55,341
129,4,107796.58,251
251,2,32004.02,251
190,1,30952.36,190
7,14,683107.66,341
129,2,71468.86,160
37,3,72997.27,160
68,2,66939.41,68
37,9,412504.44,372
37,2,143261.9,98
37,4,272773.6,282
160,4,88866.21,221
251,4,52074.32,251
221,1,13983.24,221
68,9,333540.3,341
37,6,52854.68,221
129,8,172677.9,372
37,1,16208.0,37
129,2,135430.45,310
282,1,36352.47,282
37,1,81795.84,37
282,2,59235.05,282
190,1,825.6,190
160,4,107041.79000000001,282
221,1,14810.740000000002,221
7,2,17504.57,37
372,1,27122.170000000002,372
68,4,104555.93,98
68,1,107279.46,68
37,6,138788.97,98
37,4,287300.46,98
37,1,97407.04,37
129,8,170940.35,221
7,19,1310924.87,282
341,1,24253.29,341
310,1,5244.120000000001,310
372,1,13983.33,372
190,1,245584.48,190
190,2,30192.829999999998,282
68,2,120312.32,310
68,1,136355.86,68
37,1,350020.88,37
37,3,145238.71,190
37,3,55333.16,37
310,1,17381.07,310
37,3,389242.6,129
7,10,481824.98,372
7,5,167622.19,341
37,13,760914.29,372
221,1,7480.67,221
7,12,847369.71,372
68,2,175717.88,372
7,23,229146.58000000002,221
160,2,78812.28,160
7,14,441693.63,372
129,5,65645.59,251
37,7,261364.76,372
129,1,38999.59,129
129,9,172094.41,282
37,7,217114.47,282
98,7,173066.04,372
37,15,751467.35,310
310,1,34929.31,310
37,3,116126.0,98
372,1,73205.54000000001,372
98,8,254165.68,372
7,18,1584518.15,372
37,2,28539.79,68
7,3,284550.69,129
37,6,455352.91000000003,372
98,2,96066.58,98
68,2,75936.75,221
7,6,546480.46,282
221,1,4909.990000000001,221
37,1,99.18,37
37,16,641368.49,372
68,2,46498.48,68
7,7,384574.43,341
310,2,72913.93000000001,310
37,6,942859.35,98
37,6,31634.52,98
98,1,15725.489999999998,98
160,2,9889.92,372
310,1,22552.98,310
341,1,81150.16,341
7,5,133166.34,372
7,10,154450.82,372
7,5,188626.0,341
68,7,267124.09,372
7,4,779099.49,251
37,5,178925.12,282
37,2,44508.36,372
37,4,702839.77,372
190,3,106568.23,341
68,2,284058.36,221
37,2,168434.88,98
190,1,51032.99,190
7,14,2557460.04,160
310,1,10607.48,310
160,1,114738.86,160
129,4,27430.0,310
160,3,443219.55,282
68,15,621682.26,341
98,3,9385.77,221
251,3,346717.99,310
37,7,176185.51,372
37,4,253337.14,341
37,2,114454.76,310
129,8,703967.29,372
98,2,30738.49,282
68,2,64707.58,68
98,6,126771.06,310
282,1,40937.21,282
37,5,23500.79,310
282,2,33396.33,372
37,1,44752.99,37
190,2,97402.47,310
37,6,390529.62,251
160,2,16546.94,282
68,1,47959.51,68
37,1,124589.74,37
37,7,381040.75,372
68,2,151750.81,68
221,1,67646.44,221
190,2,41958.03,372
7,7,338866.22000000003,160
37,1,20158.9,37
68,2,11355.279999999999,129
310,2,38017.65,372
310,2,77460.33,310
68,5,480514.87,372
37,3,570743.93,282
98,3,16246.74,190
68,3,16230.02,341
37,14,1640323.67,341
7,6,427917.11,190
68,4,315885.95,282
37,11,1981005.06,372
37,5,776958.44,372
37,7,256291.69,282
37,2,169728.11000000002,98
37,6,189383.57,160
190,2,50216.67,251
129,4,34714.36,310
68,3,211171.62,341
37,6,249262.4,221
37,2,58634.92,160
68,1,43149.04,68
7,2,14651.98,310
37,4,28587.100000000002,221
129,1,21768.4,129
37,9,552080.26,372
7,13,712466.03,372
7,86,2643709.28,372
37,1,46487.38,37
68,3,612598.27,129
37,6,556219.88,310
251,4,170039.81,372
37,9,163882.62,372
7,25,1411160.42,341
68,4,913089.01,251
282,1,60395.61,282
68,1,21796.87,68
68,2,34112.98,282
37,2,93867.16,68
37,3,227952.29,310
68,8,264339.43,341
190,1,11442.43,190
7,21,282036.63,372
37,2,307526.35,372
7,9,1075570.24,251
7,9,936651.23,68
160,2,3494.9,341
310,1,136274.61000000002,310
37,2,114798.78,68
37,2,18158.82,221
160,1,161951.91,160
37,5,255472.24,341
37,4,524945.39,68
68,2,58351.22,310
68,2,69683.72,98
7,24,162292.65,372
98,3,156038.41,190
7,22,1204344.86,310
98,6,276587.71,372
129,1,5832.07,129
37,3,86391.61,129
7,1,21284.63,7
282,2,87735.33,282
7,10,645674.39,341
190,13,587979.47,372
372,1,6673.799999999999,372
37,4,310587.39,372
7,1,45530.93,7
37,1,52430.69,37
68,1,14568.42,68
7,5,873781.1,221
190,5,242264.36000000002,221
68,1,96239.04000000001,68
251,3,62017.66,282
37,10,909563.96,341
372,1,11777.56,372
37,4,490669.28,221
37,3,373854.39,68
37,3,408122.12,221
7,2,131405.72,372
37,6,268368.09,341
37,2,148522.14,190
68,1,129654.7,68
310,1,43938.87,310
37,1,21518.03,37
282,1,4768.549999999999,282
7,128,7144512.92,372
37,17,294992.63,282
7,4,50205.08,372
98,4,3438.58,310
251,3,6114.530000000001,341
37,4,48618.630000000005,372
251,2,60138.52,251
221,3,77439.90000000001,282
7,6,264761.85000000003,372
190,1,60283.62,190
37,6,335072.11,251
68,2,33733.68,68
190,5,145086.47,372
7,7,290100.38,251
310,1,14463.900000000001,310
98,2,49151.11,251
7,3,424150.32,68
68,3,102429.48,310
282,1,25179.27,282
282,1,50921.47,282
37,2,64477.68,282
68,1,60538.51,68
68,8,417802.45,372
37,8,279071.52999999997,251
37,1,17037.87,37
68,1,1790.83,68
190,3,93918.70999999999,372
37,4,76440.93,310
160,2,52406.74,282
7,77,5418075.66,372
221,1,47976.13,221
7,4,483894.11,221
68,2,279177.9,221
98,1,77347.8,98
7,7,581664.21,341
7,5,102032.13,221
190,2,198693.38,282
37,5,362473.74,341
7,2,81958.26000000001,129
7,12,678514.76,341
98,2,85323.97,129
37,1,11735.220000000001,37
37,4,488050.89,341
37,2,251612.49,37
68,7,305356.55,310
37,1,30056.83,37
37,27,1402944.08,372
251,3,419083.95,341
282,2,325972.86,282
251,2,155487.82,341
7,5,176305.11000000002,372
37,1,246135.78,37
37,8,93484.83,310
372,1,524.8,372
37,23,855424.83,372
98,3,20654.71,221
190,2,12141.86,221
37,5,1123818.42,372
129,1,28929.760000000002,129
7,27,986406.25,372
221,1,40496.55,221
68,3,109678.02,160
37,5,185442.66,221
160,5,166416.59,341
282,1,24182.239999999998,282
7,9,276372.8,372
221,2,64342.65,221
7,5,497925.2,68
221,1,15288.89,221
37,3,268868.11,251
37,12,843891.14,341
7,18,923272.92,372
37,1,62146.909999999996,37
37,9,1071542.66,190
221,1,540.6,221
7,4,68825.73999999999,372
37,14,521532.18,372
37,4,402133.67,68
37,12,801216.0,282
37,3,69177.89,129
37,12,914784.7,372
37,1,44033.62,37
37,4,191650.48,341
68,2,163311.74,160
7,6,606783.9,251
7,3,82984.77,129
160,1,64510.700000000004,160
37,6,762259.3200000001,372
37,1,147628.58,37
282,1,38496.64,282
372,1,171449.72,372
7,8,1343518.6300000001,282
68,3,107492.66,221
7,10,385627.73,341
37,15,491609.41,372
7,34,530100.41,372
7,3,33408.71,372
68,9,136617.2,341
7,8,148434.23,372
190,4,204917.45,282
37,6,154107.6,372
37,9,50972.22,372
129,6,164547.92,310
251,2,56995.880000000005,251
37,6,221324.76,372
68,1,21362.730000000003,68
98,1,62090.57,98
68,2,90288.19,310
37,12,610902.72,341
37,1,113712.8,37
98,1,52246.15,98
160,4,150426.24,282
7,3,267770.02999999997,251
310,2,10239.94,310
68,2,30871.72,341
282,1,55899.36,282
68,2,20797.96,68
37,3,105546.49,190
7,8,362467.05,372
37,3,7207.5599999999995,129
7,10,2741330.03,372
251,2,143922.33000000002,341
129,1,19997.85,129
68,3,148897.19,372
68,13,353164.5,341
7,2,3482.05,372
129,2,90974.48,310
282,3,93965.99,341
68,2,64842.05,98
341,1,10768.86,341
37,2,44682.54,341
37,2,4373.01,37
7,2,62677.51,37
37,1,14965.27,37
37,4,85297.67,282
68,2,13669.19,68
7,2,47447.96,37
7,9,220963.56,341
190,1,14302.58,190
7,27,2892647.33,372
68,3,38984.87,310
68,1,28774.62,68
68,16,1011381.63,372
68,1,181224.7,68
190,3,155122.43,310
7,1,23720.16,7
37,4,131660.21,341
98,1,22918.83,98
68,15,710662.41,190
68,11,630668.29,372
372,2,73706.89,372
37,2,141203.53,68
221,1,6264.03,221
221,2,174474.15,282
98,3,127280.1,282
68,2,41327.35,221
37,4,79807.24,190
372,1,2406.1099999999997,372
190,3,183384.36,221
37,4,84823.39,98
7,12,315856.07,372
221,3,65921.39,341
37,6,134901.31,372
68,1,104694.44,68
37,8,210739.05,251
37,3,19436.5,37
98,5,275880.71,221
282,1,6572.68,282
68,6,411249.78,372
37,8,370697.51,310
68,4,306767.13,251
160,1,26038.81,160
37,28,971713.4,372
310,2,66731.47,372
37,2,66797.03,282
68,6,357856.14,251
7,3,31018.75,221
98,8,307477.54,282
129,2,51924.18,160
37,3,152426.26,68
68,3,134734.54,160
37,5,119852.73,221
7,2,26348.57,37
68,1,17156.02,68
37,2,115738.13,160
37,1,26759.35,37
7,2,8979.18,372
37,13,252604.5,372
190,4,75655.11,372
7,9,364794.38,251
7,3,162596.56,129
282,1,31884.47,282
7,4,230506.05,372
221,1,62731.5,221
37,5,145264.75,282
37,9,307151.98,372
98,3,116321.2,310
37,1,47280.87,37
37,2,22019.36,37
37,7,110281.94,221
160,1,52333.18,160
251,1,27329.16,251
98,1,12531.49,98
221,1,64560.060000000005,221
341,1,21451.03,341
282,1,14484.59,282
160,2,88357.88,190
37,2,184959.0,37
98,1,43289.1,98
7,24,1290756.28,341
221,2,107197.14,372
7,4,141626.49,310
37,8,325427.44,372
37,10,246330.09,372
37,2,54726.41,37
37,10,951338.04,282
7,2,181788.6,37
160,3,47363.52,251
7,10,413633.26,372
98,1,15160.939999999999,98
7,7,93163.0,68
7,248,15362741.47,372
37,3,82720.81999999999,251
37,4,210556.63,372
98,3,29338.07,282
98,5,198211.49,341
129,2,121922.92,160
221,2,132280.72,221
37,2,213475.28,221
68,1,128404.27,68
251,1,26288.31,251
37,1,29862.44,37
129,3,285432.77,282
7,6,117525.33,251
372,1,37160.84,372
98,3,192734.21,282
310,1,39815.82,310
37,9,876719.0700000001,282
68,4,74481.48,129
37,14,466437.99,372
37,1,6348.8,37
98,2,25333.350000000002,129
37,7,164265.53,221
7,2,47206.83,37
98,1,52991.880000000005,98
68,15,371384.94,372
37,1,132180.82,37
37,1,221909.59,37
282,1,38159.6,282
160,3,105494.59999999999,251
68,5,180027.86,310
7,2,80510.72,190
37,12,793270.27,372
282,1,10655.17,282
37,5,472352.43,190
251,1,28418.93,251
98,2,199305.54,98
37,1,82295.17,37
68,1,20320.66,68
37,1,91388.59,37
68,4,83448.20999999999,341
37,3,432271.8,68
129,1,43358.8,129
129,3,77545.79000000001,251
37,1,49716.75,37
68,1,20546.94,68
68,8,180362.24,341
98,5,586423.63,341
251,1,22937.03,251
37,2,92778.41,190
221,2,225385.67,372
37,2,14480.890000000001,372
221,1,77797.77,221
37,2,166354.4,282
68,4,75941.79,190
190,2,191378.69,251
68,1,208192.11000000002,68
129,4,317965.85000000003,372
160,1,394684.78,160
37,35,2981921.32,372
68,1,355771.43,68
160,1,24953.83,160
37,3,454734.96,37
37,1,53921.56,37
68,2,348807.33999999997,372
68,2,105823.52,190
190,1,43228.3,190
37,1,40128.64,37
37,4,73093.83,372
282,1,157805.13,282
7,13,1224277.14,372
37,4,342053.97000000003,68
7,12,1438255.8800000001,372
37,10,444654.93,372
37,1,191897.15,37
98,3,144619.58,282
37,6,101950.5,251
7,4,155989.24,372
98,2,17511.85,282
7,4,246369.87,282
282,5,149160.31,372
7,11,1299845.53,341
37,11,1074357.87,372
98,1,72347.63,98
98,3,334232.87,190
68,7,321431.47,372
37,52,3806099.17,372
190,1,159161.85,190
221,1,12627.47,221
37,1,14675.16,37
37,22,1279149.14,372
160,3,27662.09,282
37,16,496057.25,341
282,1,67251.86,282
68,5,257452.31,372
282,1,7124.01,282
37,5,220039.42,98
37,3,395056.49,160
341,1,75063.66,341
7,3,194387.59,282
37,2,262583.62,68
282,2,65232.04,341
37,11,682375.22,341
68,11,600677.28,341
7,4,288096.29,37
7,55,1011876.59,372
98,4,144641.92,372
221,1,12763.119999999999,221
37,6,436155.45,310
37,2,152109.89,68
98,3,209318.52,282
68,2,267645.94,282
190,1,196776.57,190
372,1,1718.72,372
98,2,49699.29,282
37,4,188123.74,190
129,1,112337.62,129
98,1,67057.55,98
190,1,112422.7,190
7,38,1109930.51,372
221,5,142857.37,372
37,6,89376.55,372
282,1,9963.22,282
282,1,41493.57,282
37,3,150410.79,68
37,6,366097.1,129
310,1,56793.61,310
68,2,88645.98,68
221,2,91988.45,282
37,9,285688.9,372
129,5,141491.13,221
68,1,24695.47,68
7,1,84494.72,7
190,5,3363.8700000000003,190
98,1,62069.520000000004,98
341,6,17087.59,372
7,3,20918.73,372
37,2,89040.68000000001,98
190,3,174232.78,282
37,7,245407.22,160
37,7,305155.04,282
310,8,54873.92,372
160,5,152643.96,251
251,2,57880.86,251
37,7,72125.9,341
37,3,192357.78,372
37,4,230684.18,68
37,10,494299.58,310
37,1,73204.23,37
37,4,130968.39,221
37,6,217873.29,221
160,1,6184.349999999999,160
251,1,40376.32,251
129,2,65185.31,160
68,2,79699.23,310
98,6,223124.66999999998,310
7,2,266943.8,221
37,2,29338.28,190
37,23,327968.08,282
68,1,32452.600000000002,68
68,8,270000.91,221
68,11,207324.8,310
190,1,55090.77,190
37,5,142674.69,282
129,3,71955.2,310
37,8,184761.86000000002,251
251,2,28218.57,251
7,5,190732.23,98
251,2,29961.2,341
68,8,210037.65,282
68,1,63270.54,68
251,1,34024.95,251
7,18,544018.52,341
7,4,164607.93,251
190,3,247418.17,310
221,2,81265.7,251
37,1,50215.32,37
160,1,73841.07,160
37,11,855962.84,282
37,16,660361.91,190
37,1,59562.6,37
98,2,209159.86000000002,98
7,3,125001.39,37
7,5,331732.12,372
68,1,22003.079999999998,68
7,34,1892495.5,372
372,1,12029.36,372
37,2,85125.9,221
68,3,255568.22,341
372,1,68081.27,372
341,1,101845.17,341
37,1,14418.640000000001,37
341,2,13256.62,341
7,5,288953.27,251
341,1,22834.66,341
98,1,62499.33,98
282,1,5386.129999999999,282
37,7,240314.53,372
372,1,21379.29,372
68,5,56662.97,372
160,2,51299.05,282
37,2,167254.15,190
98,1,74708.9,98
37,2,46956.520000000004,190
7,18,246643.57,221
7,53,678561.83,341
129,3,144517.86000000002,372
68,1,58000.98,68
7,22,844288.65,372
7,1,2889.0,7
7,5,73084.51,372
98,2,26276.35,129
68,4,43352.74,310
98,11,254660.24,251
37,6,385328.71,310
372,1,19225.920000000002,372
98,3,91077.97,129
37,4,23519.51,282
7,6,109030.44,372
251,1,45251.99,251
68,2,138513.44,372
251,2,11203.09,251
341,3,39637.020000000004,341
7,8,281474.72000000003,251
68,6,101211.2,341
98,1,5605.16,98
37,11,402288.33,341
190,1,20194.17,190
68,7,308783.61,282
372,2,29230.1,372
341,1,15209.19,341
251,3,84800.77,251
372,3,37572.73,372
251,1,59476.13,251
310,1,32041.010000000002,310
37,5,139067.58,341
68,5,320321.16,310
251,2,73004.23,251
129,2,70191.35,160
282,1,37202.600000000006,282
221,12,362484.39,372
310,1,43439.53,310
7,4,256800.75,251
37,5,147445.22,190
37,3,140914.16,98
68,7,233040.74,372
68,9,329985.73,282
98,1,64462.05,98
68,2,70649.99,251
160,3,222191.82,282
251,2,95196.51,372
129,1,11468.66,129
37,15,940724.08,282
37,15,362614.57,251
37,2,108494.97,190
37,6,188111.21,190
129,1,45242.81,129
68,1,106540.44,68
160,1,18896.14,160
282,2,26930.62,282
190,2,95024.21,221
129,8,192086.26,372
160,1,52215.59,160
341,1,39405.15,341
129,1,35518.93,129
68,1,38927.48,68
160,2,216057.71,251
341,1,7014.58,341
37,5,34693.38,190
37,1,5274.4,37
37,9,121374.65000000001,310
7,16,705186.2,372
68,2,174288.57,98
7,2,117214.24,37
37,2,106023.5,37
68,1,136063.51,68
68,1,33368.87,68
372,2,58276.54,372
190,1,36725.6,190
68,12,451702.49,341
68,1,10425.14,68
37,3,55857.11,98
68,5,259486.05,372
37,4,152732.36000000002,251
7,21,545702.31,372
37,20,331215.51,372
221,1,66951.24,221
68,10,542009.26,341
37,4,96807.46,68
7,14,506056.98,372
68,11,27118.91,372
68,1,64654.69,68
68,14,617869.89,372
310,1,75250.28,310
68,10,57282.29,372
68,3,137132.26,160
98,1,32816.8,98
282,2,38770.28,282
7,118,6301150.63,372
98,5,97708.99,372
129,1,3508.8,129
221,1,58188.05,221
68,3,78194.84,129
341,1,3008.28,341
7,1,105362.08,7
282,1,46045.05,282
68,1,86460.94,68
68,4,258434.96,310
68,2,119059.59,98
129,1,105942.94,129
341,1,46542.630000000005,341
68,1,17256.41,68
37,5,186224.54,372
37,2,27886.0,68
372,4,71107.08,372
221,1,47260.229999999996,221
160,3,300051.31,190
68,1,87203.79,68
68,3,232546.62,341
98,1,33813.98,98
129,2,76247.25,129
98,1,68099.73,98
7,5,64185.93,98
37,2,64276.96,68
341,1,43660.49,341
372,1,8963.83,372
98,1,25860.03,98
160,2,161713.7,190
372,1,24554.629999999997,372
37,10,574898.07,372
282,2,151091.88,372
37,2,31151.29,68
37,10,1357179.8,372
7,29,1401715.3,372
68,1,28683.28,68
372,1,20391.489999999998,372
251,2,46762.2,372
98,2,88458.99,282
37,9,377623.54,341
98,2,86301.05,372
68,5,253022.76,282
37,1,5382.31,37
160,1,1912.24,160
68,8,257635.12,341
160,1,63408.86,160
7,13,301502.96,372
129,1,4343.29,129
68,3,299561.55,221
190,8,489603.47000000003,372
7,6,72028.27,372
221,2,22771.36,282
37,8,777056.54,310
190,3,137981.91,372
68,1,43200.21,68
190,1,68538.76,190
282,1,23747.18,282
190,1,3014.8,190
7,5,216243.03,372
37,2,26924.25,282
37,4,188726.96,372
341,1,21384.120000000003,341
129,1,35947.840000000004,129
310,1,15473.33,310
37,3,208765.11000000002,98
7,3,133328.59,98
98,6,36908.55,282
160,2,124007.95999999999,221
190,1,24364.06,190
37,4,177768.67,310
37,4,366086.57,310
282,1,82521.97,282
98,8,366483.04,282
37,5,258476.16,190
190,1,20207.93,190
37,3,110805.28,251
341,1,165772.26,341
68,5,503646.03,282
98,1,81972.28,98
37,1,13410.31,37
68,4,143274.02,310
341,2,21296.42,341
37,1,6874.91,37
282,2,46607.89,282
37,7,803410.97,372
37,3,776290.86,68
37,1,16034.380000000001,37
37,3,204637.67,98
37,1,21852.21,37
98,3,131825.52,282
7,6,162719.38,221
37,1,89826.77,37
37,3,839294.89,251
282,1,111104.41,282
160,1,53429.479999999996,160
68,3,178169.97,221
251,1,8638.78,251
7,8,1008499.6900000001,341
37,2,554658.28,68
282,1,15373.47,282
341,1,21484.559999999998,341
341,1,55915.71,341
37,5,149910.77,282
37,1,57181.49,37
37,3,140940.55000000002,282
7,7,717510.52,190
372,1,63078.38,372
282,3,158259.07,372
282,1,127291.53,282
37,1,31385.510000000002,37
372,1,165826.93,372
98,3,29718.45,190
37,1,14955.630000000001,37
341,1,363829.17,341
37,24,260193.7,372
98,1,127575.57,98
37,4,112235.11,160
37,5,88766.7,372
68,4,66105.74,129
7,1,217343.84,7
129,1,217676.33000000002,129
37,10,35057.88,68
98,1,75764.02,98
68,2,137500.03,68
129,1,142787.57,129
37,16,329995.87,372
160,4,219486.07,282
7,5,458524.26,98
37,3,231567.55,372
98,1,5192.0599999999995,98
37,4,170414.2,221
98,7,364834.05,251
37,2,81221.1,98
37,7,770397.76,282
37,2,364828.03,129
37,3,45690.03,341
7,35,1343480.24,372
7,4,155943.32,98
37,23,637110.68,372
372,1,170534.13,372
98,1,26349.420000000002,98
68,7,261461.31,160
37,3,389258.10000000003,160
190,1,137680.73,190
190,6,242864.61,251
341,1,8953.49,341
37,5,411682.66000000003,98
160,2,10519.96,372
37,22,789459.66,372
37,13,584009.43,372
68,3,33221.14,68
251,1,61356.62,251
68,13,532850.03,341
7,1,46771.759999999995,7
37,13,550372.76,282
37,2,150393.63,98
98,1,18441.09,98
37,1,17.36,37
7,4,488956.78,372
37,2,3764.87,37
37,10,428057.43,372
282,1,65175.73,282
37,12,1746067.58,372
37,4,283100.58,251
7,2,579039.01,37
37,6,682296.06,372
37,5,234525.7,98
190,7,194153.43,372
190,1,69117.01,190
7,1,104983.72,7
37,1,38104.13,37
129,1,80915.09,129
310,1,92034.2,310
7,11,703183.76,372
68,2,227690.92,372
7,14,1740523.93,372
98,4,284510.93,341
7,4,150879.22,310
37,1,67943.48,37
221,1,41923.73,221
68,1,133602.61000000002,68
282,1,45305.67,282
37,20,2309352.21,372
37,1,99012.66,37
37,1,55070.740000000005,37
37,5,54702.23,221
372,1,4587.26,372
7,7,305318.56,372
68,2,32280.18,98
37,1,20363.66,37
7,3,132196.29,98
129,5,74487.05,341
7,13,895418.4400000001,372
37,4,171095.52,98
7,7,582108.74,282
37,2,283648.52999999997,98
190,4,405525.08,372
37,1,114422.41,37
160,3,94418.21,310
190,1,21817.59,190
68,2,124440.1,341
129,14,392245.92,372
37,3,104583.39,221
37,5,349355.79,190
190,1,87126.11,190
68,4,32967.41,372
251,4,75590.85,310
310,1,894.04,310
68,1,61658.22,68
98,1,16642.55,98
37,6,266118.83,251
129,9,222784.74,372
37,2,61114.33,37
37,3,30247.13,68
37,2,130660.58,221
37,17,1020057.74,372
7,15,132924.27,372
98,1,6904.26,98
68,1,62155.46,68
37,5,163416.54,372
68,11,232275.72,341
341,1,30511.05,341
37,4,163959.19,129
190,2,41951.479999999996,190
68,1,17343.2,68
37,15,98095.87,341
37,2,12945.619999999999,68
37,27,1059218.19,372
37,5,114613.79,160
37,1,8305.26,37
68,6,255511.49,372
7,6,44950.020000000004,37
7,16,591672.22,282
160,1,39419.060000000005,160
129,4,95593.6,282
129,8,164781.57,251
98,2,163943.55,341
7,10,406615.38,372
68,3,165168.79,221
37,10,489687.68,282
37,1,37458.85,37
98,2,48919.47,282
68,1,31390.09,68
310,1,2292.45,310
160,1,72765.75,160
7,17,1250392.87,372
129,4,308849.67,372
190,6,95409.9,282
190,4,621850.7,282
37,1,95936.59,37
160,4,50604.57,372
221,4,92179.83,282
341,2,3012.3900000000003,372
37,3,73583.1,282
98,1,42357.64,98
98,2,19253.39,129
37,2,56327.11,37
251,2,81654.03,251
68,4,111077.15,310
37,1,434.52,37
190,8,133555.49,372
68,1,29663.95,68
37,12,218573.09,372
341,2,14704.5,341
129,1,27068.28,129
68,2,44693.45,372
190,2,308990.86,251
68,1,21881.62,68
221,1,760.43,221
68,5,69187.27,282
310,1,22936.289999999997,310
37,10,222182.93,282
